"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2478 MINUS -> UNSIGNED_RIGHT_SHIFT |","4","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","1977834","1728000","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3657 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2232 |","3","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","395584","390000","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4277 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1444 |","2","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1567 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1697 |","5","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.modifynode.UnaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1707 POSTFIX_INCREMENT -> POSTFIX_DECREMENT |","5","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","371042","369000","false","N/A","N/A","N/A","N/A","false","1"
"6","1","| gin.edit.modifynode.UnaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2006 POSTFIX_INCREMENT -> PREFIX_DECREMENT |","6","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","361459","360000","false","N/A","N/A","N/A","N/A","false","1"
"7","1","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1482 |","2","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","373541","371000","false","N/A","N/A","N/A","N/A","false","1"
"8","0","|","1","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","520875","434000","false","N/A","N/A","N/A","N/A","true",""
"9","1","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4725 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1866 |","6","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"10","1","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1787 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":877 |","1","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"11","1","| gin.edit.matched.MatchedDeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1623 |","5","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"12","1","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3231 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2169 |","3","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"13","1","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1100 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2431:2431 |","4","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"14","1","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1865 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1904 |","6","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"15","1","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4451 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876:877 |","1","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"16","1","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2417 |","4","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
