"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineMemory(KB)","PatchMemory(KB)","MemoryImprovement(KB)","ImprovementPercent"
"1","org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeAC(int[],int)","4","BinaryOperatorReplacement","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2478 MINUS -> PLUS |","true","true","7","7","0","0.00"
"2","org.jcodec.codecs.h264.decode.CoeffTransformer.dequantizeAC(int[],int,int[])","3","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2169 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2206 |","false","false","7","-1","8","114.29"
"3","org.jcodec.codecs.h264.decode.CoeffTransformer.fdct4x4(int[])","2","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3334 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1405:1494 |","false","false","7","-1","8","114.29"
"4","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","UnaryOperatorReplacement","| gin.edit.modifynode.UnaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1707 POSTFIX_INCREMENT -> POSTFIX_DECREMENT |","true","true","7","7","0","0.00"
"5","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":523 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1710:1827 |","false","false","7","-1","8","114.29"
"6","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2009 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2009 |","true","true","7","7","0","0.00"
"7","org.jcodec.codecs.h264.decode.CoeffTransformer.fdct4x4(int[])","2","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1314 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1332 |","true","true","7","7","0","0.00"
"8","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","UnaryOperatorReplacement","|","true","true","220","7","213","96.82"
"9","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4880 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1865:1904 |","false","false","7","-1","8","114.29"
"10","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4300 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876:876 |","false","false","220","-1","221","100.45"
"11","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2184 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1799 |","false","false","7","-1","8","114.29"
"12","org.jcodec.codecs.h264.decode.CoeffTransformer.dequantizeAC(int[],int,int[])","3","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2712 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2308 |","false","false","7","-1","8","114.29"
"13","org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeAC(int[],int)","4","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2459 |","true","true","7","7","0","0.00"
"14","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","UnaryOperatorReplacement","| gin.edit.modifynode.UnaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2006 POSTFIX_INCREMENT -> POSTFIX_DECREMENT |","true","true","7","7","0","0.00"
"15","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2668 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876 |","false","false","220","-1","221","100.45"
"16","org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeAC(int[],int)","4","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2384 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2384 |","true","true","7","7","0","0.00"
"17","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","BinaryOperatorReplacement","|","true","true","220","7","213","96.82"
"18","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1866 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1603 |","false","false","7","-1","8","114.29"
"19","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","UnaryOperatorReplacement","|","true","true","220","7","213","96.82"
"20","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2238 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876:876 |","false","false","220","-1","221","100.45"
"21","org.jcodec.codecs.h264.decode.CoeffTransformer.dequantizeAC(int[],int,int[])","3","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3276 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2168:2169 |","false","false","7","-1","8","114.29"
"22","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","UnaryOperatorReplacement","| gin.edit.modifynode.UnaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2006 POSTFIX_INCREMENT -> PREFIX_INCREMENT |","true","true","7","7","0","0.00"
"23","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3202 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1865:1865 |","false","false","7","-1","8","114.29"
"24","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2009 |","false","false","7","-1","8","114.29"
"25","org.jcodec.codecs.h264.decode.CoeffTransformer.fdct4x4(int[])","2","BinaryOperatorReplacement","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1353 PLUS -> DIVIDE |","true","true","7","7","0","0.00"
"26","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2403 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876:877 |","false","false","220","-1","221","100.45"
"27","org.jcodec.codecs.h264.decode.CoeffTransformer.fdct4x4(int[])","2","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4784 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1344 |","false","false","7","-1","8","114.29"
"28","org.jcodec.codecs.h264.decode.CoeffTransformer.dequantizeAC(int[],int,int[])","3","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4528 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2297 |","false","false","7","-1","8","114.29"
"29","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3193 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1865:1968 |","false","false","7","-1","8","114.29"
"30","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","DeleteStatement","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2086 |","true","true","7","7","0","0.00"
"31","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","DeleteStatement","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2135 |","true","true","7","7","0","0.00"
"32","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1241 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1655 |","false","false","7","-1","8","114.29"
"33","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876 |","false","false","220","-1","221","100.45"
"34","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1711 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1697 |","false","false","7","-1","8","114.29"
