Metric,Value,Percentage
TotalPatches,100,100.00
CompilingPatches,44,44.00
PassingPatches,42,42.00
ImprovingPatches,9,9.00

Operator,Attempts,Passes,PassRate,Improvements,ImprovementRate
MatchedDeleteStatement,9,4,44.44,0,0.00
CopyStatement,10,1,10.00,0,0.00
MatchedReplaceStatement,8,0,0.00,0,0.00
ReplaceStatement,7,0,0.00,0,0.00
MatchedSwapStatement,10,3,30.00,1,10.00
MatchedCopyStatement,10,0,0.00,0,0.00
BinaryOperatorReplacement,13,13,100.00,3,23.08
UnaryOperatorReplacement,12,12,100.00,4,33.33
DeleteStatement,7,5,71.43,0,0.00
SwapStatement,14,4,28.57,1,7.14
