"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineRuntime(ms)","PatchRuntime(ms)","RuntimeImprovement(ms)","ImprovementPercent"
"1","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBlockEdgeHoris(Picture,int,int,int,int,int,int,int)","5","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2994 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2934 |","false","false","212.00","-1.00","213.00","100.47"
"2","org.jcodec.codecs.h264.encode.MBEncoderHelper.takeSafe(byte[],int,int,int,int,byte[],int,int)","3","BinaryOperatorReplacement","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/MBEncoderHelper.java"":442 MULTIPLY -> UNSIGNED_RIGHT_SHIFT |","true","false","567.00","-1.00","568.00","100.18"
"3","org.jcodec.codecs.h264.encode.IntraPredEstimator.getLumaPred4x4(Picture,EncodingContext,int,int,int)","4","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/IntraPredEstimator.java"":505 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/IntraPredEstimator.java"":505 |","true","false","548.00","-1.00","549.00","100.18"
"4","org.jcodec.codecs.h264.encode.IntraPredEstimator.getLumaPred4x4(Picture,EncodingContext,int,int,int)","4","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/IntraPredEstimator.java"":442 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/IntraPredEstimator.java"":602 |","false","false","548.00","-1.00","549.00","100.18"
"5","org.jcodec.scale.BaseResampler.resample(Picture,Picture)","9","BinaryOperatorReplacement","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/scale/BaseResampler.java"":639 LESS -> EQUALS |","true","false","1.00","-1.00","2.00","200.00"
"6","org.jcodec.codecs.h264.encode.MBEncoderHelper.takeSafe(byte[],int,int,int,int,byte[],int,int)","3","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/MBEncoderHelper.java"":431 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/MBEncoderHelper.java"":493 |","false","false","567.00","-1.00","568.00","100.18"
"7","org.jcodec.codecs.h264.decode.MBlockDecoderUtils.mergeResidual(Picture,int[][][],int[][],int[][])","8","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/MBlockDecoderUtils.java"":1155 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/MBlockDecoderUtils.java"":613:614 |","false","false","213.00","-1.00","214.00","100.47"
"8","org.jcodec.codecs.h264.decode.MBlockDecoderUtils.mergeResidual(Picture,int[][][],int[][],int[][])","8","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/MBlockDecoderUtils.java"":1277 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/MBlockDecoderUtils.java"":657 |","false","false","213.00","-1.00","214.00","100.47"
"9","org.jcodec.codecs.h264.encode.MotionEstimator.estimateQPix(Picture,byte[],int[],int,int)","2","DeleteStatement","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/MotionEstimator.java"":911 |","false","false","235.00","-1.00","236.00","100.43"
"10","org.jcodec.codecs.h264.encode.MotionEstimator.estimateQPix(Picture,byte[],int[],int,int)","2","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/MotionEstimator.java"":689 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/encode/MotionEstimator.java"":1849:1946 |","false","false","235.00","-1.00","236.00","100.43"
"11","org.jcodec.common.model.Picture.getPlaneWidth(int)","10","DeleteStatement","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/common/model/Picture.java"":996 |","false","false","985.00","-1.00","986.00","100.10"
