MethodID,Step,Operator,Success,ParentMemory(KB),ChildMemory(KB),Reward
1,1,MatchedReplaceStatement,false,220,-1,0.0000
1,2,SwapStatement,false,220,-1,0.0000
1,3,CopyStatement,true,220,7,31.4286
1,4,MoveStatement,true,7,7,1.0000
1,5,MatchedCopyStatement,false,7,-1,0.0000
1,6,MatchedSwapStatement,true,7,7,1.0000
1,7,BinaryOperatorReplacement,true,7,7,1.0000
1,8,DeleteStatement,false,7,-1,0.0000
1,9,ReplaceStatement,true,7,7,1.0000
1,10,UnaryOperatorReplacement,true,7,7,1.0000
1,11,MatchedDeleteStatement,true,7,7,1.0000
1,12,CopyStatement,false,7,-1,0.0000
1,13,CopyStatement,true,7,7,1.0000
1,14,CopyStatement,false,7,-1,0.0000
1,15,CopyStatement,false,7,-1,0.0000
1,16,CopyStatement,true,7,7,1.0000
1,17,CopyStatement,true,7,7,1.0000
1,18,CopyStatement,false,7,-1,0.0000
1,19,CopyStatement,false,7,-1,0.0000
1,20,CopyStatement,true,7,7,1.0000
1,21,CopyStatement,true,7,7,1.0000
1,22,CopyStatement,true,7,7,1.0000
1,23,CopyStatement,false,7,-1,0.0000
1,24,CopyStatement,false,7,-1,0.0000
1,25,ReplaceStatement,false,7,-1,0.0000
1,26,MoveStatement,true,7,7,1.0000
1,27,MatchedDeleteStatement,true,7,7,1.0000
1,28,MatchedSwapStatement,false,7,-1,0.0000
1,29,BinaryOperatorReplacement,true,7,7,1.0000
1,30,UnaryOperatorReplacement,true,7,7,1.0000
1,31,CopyStatement,false,7,-1,0.0000
1,32,CopyStatement,false,7,-1,0.0000
1,33,CopyStatement,true,7,7,1.0000
1,34,CopyStatement,true,7,7,1.0000
1,35,MoveStatement,true,7,7,1.0000
1,36,MatchedDeleteStatement,false,7,-1,0.0000
1,37,BinaryOperatorReplacement,true,7,7,1.0000
1,38,UnaryOperatorReplacement,true,7,7,1.0000
1,39,CopyStatement,true,7,7,1.0000
1,40,CopyStatement,false,7,-1,0.0000
1,41,DeleteStatement,true,7,7,1.0000
1,42,SwapStatement,true,7,7,1.0000
1,43,MatchedCopyStatement,false,7,-1,0.0000
1,44,MatchedReplaceStatement,false,7,-1,0.0000
1,45,CopyStatement,true,7,7,1.0000
1,46,MoveStatement,true,7,7,1.0000
1,47,BinaryOperatorReplacement,true,7,7,1.0000
1,48,UnaryOperatorReplacement,true,7,7,1.0000
1,49,CopyStatement,true,7,7,1.0000
1,50,CopyStatement,false,7,-1,0.0000
1,51,DeleteStatement,false,7,-1,0.0000
1,52,ReplaceStatement,true,7,7,1.0000
1,53,SwapStatement,true,7,7,1.0000
1,54,MatchedSwapStatement,false,7,-1,0.0000
1,55,CopyStatement,false,7,-1,0.0000
1,56,MoveStatement,true,7,7,1.0000
1,57,BinaryOperatorReplacement,true,7,7,1.0000
1,58,UnaryOperatorReplacement,true,7,7,1.0000
1,59,CopyStatement,true,7,7,1.0000
1,60,MatchedDeleteStatement,false,7,-1,0.0000
1,61,ReplaceStatement,true,7,7,1.0000
1,62,SwapStatement,true,7,7,1.0000
1,63,CopyStatement,true,7,7,1.0000
1,64,MoveStatement,true,7,7,1.0000
1,65,BinaryOperatorReplacement,true,7,7,1.0000
1,66,UnaryOperatorReplacement,true,7,7,1.0000
1,67,CopyStatement,true,7,7,1.0000
1,68,CopyStatement,false,7,-1,0.0000
1,69,ReplaceStatement,true,7,7,1.0000
1,70,SwapStatement,true,7,7,1.0000
1,71,MoveStatement,true,7,7,1.0000
1,72,BinaryOperatorReplacement,true,7,7,1.0000
1,73,UnaryOperatorReplacement,true,7,7,1.0000
1,74,CopyStatement,false,7,-1,0.0000
1,75,ReplaceStatement,true,7,7,1.0000
1,76,SwapStatement,false,7,-1,0.0000
1,77,CopyStatement,false,7,-1,0.0000
1,78,MoveStatement,true,7,7,1.0000
1,79,BinaryOperatorReplacement,true,7,7,1.0000
1,80,UnaryOperatorReplacement,true,7,7,1.0000
1,81,MatchedCopyStatement,false,7,-1,0.0000
1,82,MatchedReplaceStatement,false,7,-1,0.0000
1,83,CopyStatement,false,7,-1,0.0000
1,84,MoveStatement,true,7,7,1.0000
1,85,BinaryOperatorReplacement,true,7,7,1.0000
1,86,DeleteStatement,true,7,7,1.0000
1,87,MatchedSwapStatement,true,7,7,1.0000
1,88,UnaryOperatorReplacement,true,7,7,1.0000
1,89,ReplaceStatement,false,7,-1,0.0000
1,90,CopyStatement,true,7,7,1.0000
1,91,MoveStatement,true,7,7,1.0000
1,92,DeleteStatement,false,7,-1,0.0000
1,93,MatchedDeleteStatement,false,7,-1,0.0000
1,94,MatchedSwapStatement,false,7,-1,0.0000
1,95,BinaryOperatorReplacement,true,7,7,1.0000
1,96,UnaryOperatorReplacement,true,7,7,1.0000
1,97,CopyStatement,true,7,7,1.0000
1,98,CopyStatement,false,7,-1,0.0000
1,99,MoveStatement,true,7,7,1.0000
2,1,ReplaceStatement,false,7,-1,0.0000
2,2,MoveStatement,false,7,-1,0.0000
2,3,DeleteStatement,false,7,-1,0.0000
2,4,BinaryOperatorReplacement,true,7,7,1.0000
2,5,SwapStatement,false,7,-1,0.0000
2,6,MatchedDeleteStatement,true,7,7,1.0000
2,7,MatchedCopyStatement,false,7,-1,0.0000
2,8,CopyStatement,false,7,-1,0.0000
2,9,MatchedSwapStatement,false,7,-1,0.0000
2,10,MatchedReplaceStatement,false,7,-1,0.0000
2,11,UnaryOperatorReplacement,true,7,7,1.0000
2,12,MatchedDeleteStatement,false,7,-1,0.0000
2,13,BinaryOperatorReplacement,true,7,7,1.0000
2,14,UnaryOperatorReplacement,true,7,7,1.0000
2,15,BinaryOperatorReplacement,true,7,7,1.0000
2,16,UnaryOperatorReplacement,true,7,7,1.0000
2,17,BinaryOperatorReplacement,true,7,7,1.0000
2,18,DeleteStatement,false,7,-1,0.0000
2,19,CopyStatement,false,7,-1,0.0000
2,20,ReplaceStatement,false,7,-1,0.0000
2,21,SwapStatement,false,7,-1,0.0000
2,22,MoveStatement,false,7,-1,0.0000
2,23,MatchedCopyStatement,false,7,-1,0.0000
2,24,MatchedReplaceStatement,false,7,-1,0.0000
2,25,MatchedSwapStatement,false,7,-1,0.0000
2,26,UnaryOperatorReplacement,true,7,7,1.0000
2,27,MatchedDeleteStatement,false,7,-1,0.0000
2,28,BinaryOperatorReplacement,true,7,7,1.0000
2,29,UnaryOperatorReplacement,true,7,7,1.0000
2,30,BinaryOperatorReplacement,true,7,7,1.0000
2,31,UnaryOperatorReplacement,true,7,7,1.0000
2,32,BinaryOperatorReplacement,true,7,7,1.0000
2,33,UnaryOperatorReplacement,true,7,7,1.0000
2,34,BinaryOperatorReplacement,true,7,7,1.0000
2,35,UnaryOperatorReplacement,true,7,7,1.0000
