MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,MatchedReplaceStatement,false,2997.00,-1.00,0.0000
1,2,SwapStatement,false,2997.00,-1.00,0.0000
1,3,CopyStatement,false,2997.00,-1.00,0.0000
1,4,MoveStatement,false,2997.00,-1.00,0.0000
1,5,MatchedCopyStatement,true,2997.00,2401.00,1.2482
1,6,MatchedSwapStatement,false,2401.00,-1.00,0.0000
1,7,BinaryOperatorReplacement,false,2401.00,-1.00,0.0000
1,8,DeleteStatement,true,2401.00,2391.00,1.0042
1,9,ReplaceStatement,false,2391.00,-1.00,0.0000
1,10,UnaryOperatorReplacement,false,2391.00,-1.00,0.0000
1,11,MatchedDeleteStatement,false,2391.00,-1.00,0.0000
1,12,MatchedCopyStatement,false,2391.00,-1.00,0.0000
1,13,DeleteStatement,false,2391.00,-1.00,0.0000
1,14,CopyStatement,false,2391.00,-1.00,0.0000
1,15,ReplaceStatement,false,2391.00,-1.00,0.0000
1,16,SwapStatement,false,2391.00,-1.00,0.0000
1,17,MoveStatement,false,2391.00,-1.00,0.0000
1,18,MatchedDeleteStatement,false,2391.00,-1.00,0.0000
1,19,MatchedReplaceStatement,false,2391.00,-1.00,0.0000
1,20,MatchedSwapStatement,false,2391.00,-1.00,0.0000
1,21,BinaryOperatorReplacement,true,2391.00,2381.00,1.0042
1,22,UnaryOperatorReplacement,false,2381.00,-1.00,0.0000
1,23,MatchedCopyStatement,false,2381.00,-1.00,0.0000
1,24,BinaryOperatorReplacement,false,2381.00,-1.00,0.0000
1,25,DeleteStatement,false,2381.00,-1.00,0.0000
1,26,MatchedCopyStatement,true,2381.00,2384.00,0.9987
1,27,MatchedCopyStatement,false,2381.00,-1.00,0.0000
1,28,BinaryOperatorReplacement,true,2381.00,2375.00,1.0025
1,29,CopyStatement,false,2375.00,-1.00,0.0000
1,30,ReplaceStatement,false,2375.00,-1.00,0.0000
1,31,SwapStatement,false,2375.00,-1.00,0.0000
1,32,MoveStatement,false,2375.00,-1.00,0.0000
1,33,MatchedDeleteStatement,false,2375.00,-1.00,0.0000
1,34,MatchedReplaceStatement,false,2375.00,-1.00,0.0000
1,35,MatchedSwapStatement,false,2375.00,-1.00,0.0000
1,36,UnaryOperatorReplacement,false,2375.00,-1.00,0.0000
1,37,DeleteStatement,false,2375.00,-1.00,0.0000
1,38,BinaryOperatorReplacement,false,2375.00,-1.00,0.0000
1,39,MatchedCopyStatement,false,2375.00,-1.00,0.0000
1,40,BinaryOperatorReplacement,false,2375.00,-1.00,0.0000
1,41,DeleteStatement,false,2375.00,-1.00,0.0000
1,42,CopyStatement,false,2375.00,-1.00,0.0000
1,43,ReplaceStatement,false,2375.00,-1.00,0.0000
1,44,SwapStatement,false,2375.00,-1.00,0.0000
1,45,MoveStatement,false,2375.00,-1.00,0.0000
1,46,MatchedDeleteStatement,false,2375.00,-1.00,0.0000
1,47,MatchedReplaceStatement,false,2375.00,-1.00,0.0000
1,48,MatchedSwapStatement,true,2375.00,2393.00,0.9925
1,49,MatchedSwapStatement,false,2375.00,-1.00,0.0000
1,50,UnaryOperatorReplacement,true,2375.00,2385.00,0.9958
1,51,UnaryOperatorReplacement,false,2375.00,-1.00,0.0000
1,52,MatchedCopyStatement,false,2375.00,-1.00,0.0000
1,53,BinaryOperatorReplacement,false,2375.00,-1.00,0.0000
1,54,DeleteStatement,true,2375.00,2426.00,0.9790
1,55,DeleteStatement,false,2375.00,-1.00,0.0000
