MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,MatchedSwapStatement,false,60.00,-1.00,0.0000
1,2,LLMMaskedStatement,false,60.00,-1.00,0.0000
1,3,LLMReplaceStatement,false,60.00,-1.00,0.0000
1,4,CopyStatement,false,60.00,-1.00,0.0000
1,5,MatchedCopyStatement,false,60.00,-1.00,0.0000
1,6,BinaryOperatorReplacement,false,60.00,-1.00,0.0000
1,7,MoveStatement,false,60.00,-1.00,0.0000
1,8,ReplaceStatement,false,60.00,-1.00,0.0000
1,9,SwapStatement,false,60.00,-1.00,0.0000
1,10,DeleteStatement,true,60.00,90.00,0.6667
1,11,MatchedDeleteStatement,false,60.00,-1.00,0.0000
1,12,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,13,MatchedReplaceStatement,false,60.00,-1.00,0.0000
1,14,UnaryOperatorReplacement,true,60.00,59.00,1.0169
1,15,DeleteStatement,false,59.00,-1.00,0.0000
1,16,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,17,CopyStatement,false,59.00,-1.00,0.0000
1,18,ReplaceStatement,false,59.00,-1.00,0.0000
1,19,SwapStatement,false,59.00,-1.00,0.0000
1,20,MoveStatement,false,59.00,-1.00,0.0000
1,21,MatchedDeleteStatement,false,59.00,-1.00,0.0000
1,22,MatchedCopyStatement,false,59.00,-1.00,0.0000
1,23,MatchedReplaceStatement,false,59.00,-1.00,0.0000
1,24,MatchedSwapStatement,false,59.00,-1.00,0.0000
1,25,BinaryOperatorReplacement,false,59.00,-1.00,0.0000
1,26,LLMMaskedStatement,false,59.00,-1.00,0.0000
1,27,LLMReplaceStatement,false,59.00,-1.00,0.0000
1,28,UnaryOperatorReplacement,true,59.00,66.00,0.8939
1,29,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,30,DeleteStatement,false,59.00,-1.00,0.0000
1,31,UnaryOperatorReplacement,true,59.00,65.00,0.9077
1,32,UnaryOperatorReplacement,true,59.00,63.00,0.9365
1,33,UnaryOperatorReplacement,true,59.00,67.00,0.8806
1,34,UnaryOperatorReplacement,true,59.00,64.00,0.9219
1,35,CopyStatement,false,59.00,-1.00,0.0000
1,36,ReplaceStatement,false,59.00,-1.00,0.0000
1,37,SwapStatement,false,59.00,-1.00,0.0000
1,38,MoveStatement,false,59.00,-1.00,0.0000
1,39,MatchedDeleteStatement,false,59.00,-1.00,0.0000
1,40,MatchedCopyStatement,false,59.00,-1.00,0.0000
1,41,MatchedReplaceStatement,false,59.00,-1.00,0.0000
1,42,MatchedSwapStatement,false,59.00,-1.00,0.0000
1,43,BinaryOperatorReplacement,false,59.00,-1.00,0.0000
1,44,LLMMaskedStatement,false,59.00,-1.00,0.0000
1,45,LLMReplaceStatement,true,59.00,71.00,0.8310
1,46,LLMReplaceStatement,true,59.00,61.00,0.9672
1,47,UnaryOperatorReplacement,true,59.00,63.00,0.9365
1,48,LLMReplaceStatement,false,59.00,-1.00,0.0000
1,49,DeleteStatement,false,59.00,-1.00,0.0000
1,50,UnaryOperatorReplacement,true,59.00,67.00,0.8806
1,51,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,52,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,53,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,54,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,55,UnaryOperatorReplacement,true,59.00,64.00,0.9219
1,56,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,57,CopyStatement,false,59.00,-1.00,0.0000
1,58,ReplaceStatement,false,59.00,-1.00,0.0000
1,59,SwapStatement,false,59.00,-1.00,0.0000
1,60,MoveStatement,false,59.00,-1.00,0.0000
1,61,MatchedDeleteStatement,false,59.00,-1.00,0.0000
1,62,MatchedCopyStatement,false,59.00,-1.00,0.0000
1,63,MatchedReplaceStatement,false,59.00,-1.00,0.0000
1,64,MatchedSwapStatement,false,59.00,-1.00,0.0000
1,65,BinaryOperatorReplacement,false,59.00,-1.00,0.0000
1,66,LLMMaskedStatement,false,59.00,-1.00,0.0000
1,67,LLMReplaceStatement,true,59.00,63.00,0.9365
1,68,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,69,LLMReplaceStatement,false,59.00,-1.00,0.0000
1,70,UnaryOperatorReplacement,true,59.00,68.00,0.8676
1,71,DeleteStatement,false,59.00,-1.00,0.0000
1,72,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,73,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,74,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,75,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,76,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,77,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,78,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,79,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,80,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,81,LLMReplaceStatement,false,59.00,-1.00,0.0000
1,82,UnaryOperatorReplacement,true,59.00,67.00,0.8806
1,83,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,84,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,85,CopyStatement,false,59.00,-1.00,0.0000
