MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,MoveStatement,false,74.00,-1.00,0.0000
1,2,LLMMaskedStatement,false,74.00,-1.00,0.0000
1,3,MatchedCopyStatement,false,74.00,-1.00,0.0000
1,4,ReplaceStatement,false,74.00,-1.00,0.0000
1,5,SwapStatement,false,74.00,-1.00,0.0000
1,6,MatchedDeleteStatement,false,74.00,-1.00,0.0000
1,7,MatchedSwapStatement,false,74.00,-1.00,0.0000
1,8,LLMReplaceStatement,true,74.00,74.00,1.0000
1,9,UnaryOperatorReplacement,true,74.00,77.00,0.9610
1,10,BinaryOperatorReplacement,false,74.00,-1.00,0.0000
1,11,CopyStatement,false,74.00,-1.00,0.0000
1,12,MatchedReplaceStatement,false,74.00,-1.00,0.0000
1,13,DeleteStatement,false,74.00,-1.00,0.0000
1,14,LLMReplaceStatement,false,74.00,-1.00,0.0000
1,15,UnaryOperatorReplacement,true,74.00,67.00,1.1045
1,16,UnaryOperatorReplacement,true,67.00,61.00,1.0984
1,17,UnaryOperatorReplacement,true,61.00,60.00,1.0167
1,18,DeleteStatement,false,60.00,-1.00,0.0000
1,19,CopyStatement,false,60.00,-1.00,0.0000
1,20,ReplaceStatement,false,60.00,-1.00,0.0000
1,21,SwapStatement,false,60.00,-1.00,0.0000
1,22,MoveStatement,false,60.00,-1.00,0.0000
1,23,MatchedDeleteStatement,false,60.00,-1.00,0.0000
1,24,MatchedCopyStatement,false,60.00,-1.00,0.0000
1,25,MatchedReplaceStatement,false,60.00,-1.00,0.0000
1,26,MatchedSwapStatement,false,60.00,-1.00,0.0000
1,27,BinaryOperatorReplacement,false,60.00,-1.00,0.0000
1,28,LLMMaskedStatement,true,60.00,64.00,0.9375
1,29,UnaryOperatorReplacement,true,60.00,65.00,0.9231
1,30,LLMReplaceStatement,false,60.00,-1.00,0.0000
1,31,LLMMaskedStatement,true,60.00,62.00,0.9677
1,32,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,33,LLMMaskedStatement,false,60.00,-1.00,0.0000
1,34,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,35,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,36,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,37,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,38,DeleteStatement,false,60.00,-1.00,0.0000
1,39,CopyStatement,false,60.00,-1.00,0.0000
1,40,ReplaceStatement,false,60.00,-1.00,0.0000
1,41,SwapStatement,false,60.00,-1.00,0.0000
1,42,MoveStatement,false,60.00,-1.00,0.0000
1,43,MatchedDeleteStatement,false,60.00,-1.00,0.0000
1,44,MatchedCopyStatement,false,60.00,-1.00,0.0000
1,45,MatchedReplaceStatement,false,60.00,-1.00,0.0000
1,46,MatchedSwapStatement,false,60.00,-1.00,0.0000
1,47,BinaryOperatorReplacement,false,60.00,-1.00,0.0000
1,48,LLMReplaceStatement,true,60.00,66.00,0.9091
1,49,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,50,LLMReplaceStatement,false,60.00,-1.00,0.0000
1,51,LLMMaskedStatement,false,60.00,-1.00,0.0000
1,52,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,53,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,54,UnaryOperatorReplacement,true,60.00,63.00,0.9524
1,55,UnaryOperatorReplacement,true,60.00,64.00,0.9375
1,56,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,57,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,58,UnaryOperatorReplacement,true,60.00,64.00,0.9375
1,59,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,60,LLMReplaceStatement,true,60.00,68.00,0.8824
1,61,LLMMaskedStatement,false,60.00,-1.00,0.0000
1,62,DeleteStatement,false,60.00,-1.00,0.0000
1,63,CopyStatement,false,60.00,-1.00,0.0000
1,64,ReplaceStatement,false,60.00,-1.00,0.0000
1,65,SwapStatement,false,60.00,-1.00,0.0000
