"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineRuntime(ms)","PatchRuntime(ms)","RuntimeImprovement(ms)","ImprovementPercent"
"1","org.junit.runner.Description.formatDisplayName(String,String)","4","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""src/main/java/org/junit/runner/Description.java"":262 |","false","false","3144.00","-1.00","3145.00","100.03"
"2","org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(RunListener)","6","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/org/junit/runner/notification/RunNotifier.java"":72 -> ""src/main/java/org/junit/runner/notification/RunNotifier.java"":123:124 |","false","false","2438.00","-1.00","2439.00","100.04"
"3","org.junit.internal.builders.IgnoredBuilder.runnerForClass(Class<?>)","7","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/junit/internal/builders/IgnoredBuilder.java"":53 |","false","false","569.00","-1.00","570.00","100.18"
"4","org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(RunListener)","6","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/org/junit/runner/notification/RunNotifier.java"":384 -> ""src/main/java/org/junit/runner/notification/RunNotifier.java"":123:123 |","false","false","2438.00","-1.00","2439.00","100.04"
"5","org.junit.internal.builders.JUnit4Builder.runnerForClass(Class<?>)","10","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/junit/internal/builders/JUnit4Builder.java"":39 |","false","false","307.00","-1.00","308.00","100.33"
"6","org.junit.runner.Computer.getSuite(RunnerBuilder,Class<?>[])","5","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/org/junit/runner/Computer.java"":30 -> ""src/main/java/org/junit/runner/Computer.java"":75:75 |","false","false","3266.00","-1.00","3267.00","100.03"
"7","org.junit.runner.Computer.getSuite(RunnerBuilder,Class<?>[])","5","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/org/junit/runner/Computer.java"":92 -> ""src/main/java/org/junit/runner/Computer.java"":92 |","true","true","3266.00","3490.00","-224.00","-6.86"
"8","org.junit.internal.builders.JUnit4Builder.runnerForClass(Class<?>)","10","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""src/main/java/org/junit/internal/builders/JUnit4Builder.java"":39 -> ""src/main/java/org/junit/internal/builders/JUnit4Builder.java"":38 |","false","false","307.00","-1.00","308.00","100.33"
"9","org.junit.runner.Computer.getSuite(RunnerBuilder,Class<?>[])","5","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/org/junit/runner/Computer.java"":31 -> ""src/main/java/org/junit/runner/Computer.java"":76 |","false","false","3266.00","-1.00","3267.00","100.03"
"10","org.junit.runner.Description.methodAndClassNamePatternGroupOrDefault(int,String)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/org/junit/runner/Description.java"":785 -> ""src/main/java/org/junit/runner/Description.java"":855:855 |","false","false","2624.00","-1.00","2625.00","100.04"
"11","org.junit.internal.TextListener.elapsedTimeAsString(long)","9","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/junit/internal/TextListener.java"":408 |","false","false","69.00","-1.00","70.00","101.45"
"12","org.junit.runner.Computer.getSuite(RunnerBuilder,Class<?>[])","5","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/junit/runner/Computer.java"":93 |","false","false","3266.00","-1.00","3267.00","100.03"
"13","org.junit.internal.builders.JUnit4Builder.runnerForClass(Class<?>)","10","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""src/main/java/org/junit/internal/builders/JUnit4Builder.java"":38 <-> ""src/main/java/org/junit/internal/builders/JUnit4Builder.java"":38 |","true","true","307.00","358.00","-51.00","-16.61"
