MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,SwapStatement,false,3946.00,-1.00,0.0000
1,2,UnaryOperatorReplacement,true,3946.00,3080.00,1.2812
1,3,MatchedCopyStatement,false,3080.00,-1.00,0.0000
1,4,DeleteStatement,false,3080.00,-1.00,0.0000
1,5,MatchedSwapStatement,false,3080.00,-1.00,0.0000
1,6,MatchedReplaceStatement,false,3080.00,-1.00,0.0000
1,7,MoveStatement,false,3080.00,-1.00,0.0000
1,8,CopyStatement,false,3080.00,-1.00,0.0000
1,9,BinaryOperatorReplacement,true,3080.00,2947.00,1.0451
1,10,ReplaceStatement,false,2947.00,-1.00,0.0000
1,11,MatchedDeleteStatement,false,2947.00,-1.00,0.0000
1,12,UnaryOperatorReplacement,true,2947.00,3956.00,0.7449
1,13,BinaryOperatorReplacement,true,2947.00,3051.00,0.9659
1,14,UnaryOperatorReplacement,true,2947.00,3976.00,0.7412
1,15,BinaryOperatorReplacement,true,2947.00,3757.00,0.7844
1,16,DeleteStatement,false,2947.00,-1.00,0.0000
1,17,CopyStatement,false,2947.00,-1.00,0.0000
1,18,ReplaceStatement,false,2947.00,-1.00,0.0000
1,19,SwapStatement,true,2947.00,3625.00,0.8130
1,20,MoveStatement,true,2947.00,3528.00,0.8353
1,21,MatchedDeleteStatement,false,2947.00,-1.00,0.0000
1,22,MatchedCopyStatement,false,2947.00,-1.00,0.0000
1,23,MatchedReplaceStatement,false,2947.00,-1.00,0.0000
1,24,MatchedSwapStatement,false,2947.00,-1.00,0.0000
1,25,BinaryOperatorReplacement,true,2947.00,3108.00,0.9482
1,26,UnaryOperatorReplacement,true,2947.00,3220.00,0.9152
1,27,MoveStatement,false,2947.00,-1.00,0.0000
1,28,SwapStatement,false,2947.00,-1.00,0.0000
1,29,BinaryOperatorReplacement,true,2947.00,3297.00,0.8938
1,30,UnaryOperatorReplacement,true,2947.00,3403.00,0.8660
1,31,BinaryOperatorReplacement,true,2947.00,3208.00,0.9186
1,32,UnaryOperatorReplacement,true,2947.00,2818.00,1.0458
1,33,UnaryOperatorReplacement,true,2818.00,3528.00,0.7988
1,34,BinaryOperatorReplacement,true,2818.00,3358.00,0.8392
1,35,BinaryOperatorReplacement,true,2818.00,3319.00,0.8491
1,36,UnaryOperatorReplacement,true,2818.00,3237.00,0.8706
1,37,DeleteStatement,false,2818.00,-1.00,0.0000
1,38,CopyStatement,false,2818.00,-1.00,0.0000
1,39,ReplaceStatement,false,2818.00,-1.00,0.0000
1,40,MatchedDeleteStatement,false,2818.00,-1.00,0.0000
1,41,MatchedCopyStatement,false,2818.00,-1.00,0.0000
1,42,MatchedReplaceStatement,false,2818.00,-1.00,0.0000
1,43,MatchedSwapStatement,false,2818.00,-1.00,0.0000
1,44,UnaryOperatorReplacement,true,2818.00,2856.00,0.9867
1,45,BinaryOperatorReplacement,true,2818.00,2717.00,1.0372
1,46,MoveStatement,true,2717.00,2801.00,0.9700
1,47,SwapStatement,true,2717.00,2857.00,0.9510
1,48,BinaryOperatorReplacement,true,2717.00,2910.00,0.9337
1,49,UnaryOperatorReplacement,true,2717.00,2559.00,1.0617
1,50,MoveStatement,true,2559.00,2977.00,0.8596
1,51,SwapStatement,true,2559.00,3020.00,0.8474
1,52,UnaryOperatorReplacement,true,2559.00,2978.00,0.8593
1,53,BinaryOperatorReplacement,true,2559.00,3044.00,0.8407
1,54,MoveStatement,true,2559.00,3106.00,0.8239
1,55,SwapStatement,false,2559.00,-1.00,0.0000
1,56,UnaryOperatorReplacement,true,2559.00,3224.00,0.7937
1,57,BinaryOperatorReplacement,true,2559.00,3113.00,0.8220
1,58,MoveStatement,true,2559.00,3199.00,0.7999
1,59,UnaryOperatorReplacement,true,2559.00,3051.00,0.8387
1,60,BinaryOperatorReplacement,true,2559.00,3316.00,0.7717
1,61,UnaryOperatorReplacement,true,2559.00,3216.00,0.7957
1,62,MoveStatement,true,2559.00,2921.00,0.8761
1,63,BinaryOperatorReplacement,true,2559.00,3013.00,0.8493
1,64,UnaryOperatorReplacement,true,2559.00,3173.00,0.8065
1,65,MoveStatement,true,2559.00,2880.00,0.8885
1,66,DeleteStatement,false,2559.00,-1.00,0.0000
1,67,CopyStatement,false,2559.00,-1.00,0.0000
1,68,ReplaceStatement,false,2559.00,-1.00,0.0000
1,69,MatchedDeleteStatement,false,2559.00,-1.00,0.0000
1,70,MatchedCopyStatement,false,2559.00,-1.00,0.0000
1,71,MatchedReplaceStatement,false,2559.00,-1.00,0.0000
1,72,MatchedSwapStatement,false,2559.00,-1.00,0.0000
1,73,BinaryOperatorReplacement,true,2559.00,3009.00,0.8504
1,74,UnaryOperatorReplacement,true,2559.00,3091.00,0.8279
1,75,MoveStatement,false,2559.00,-1.00,0.0000
1,76,BinaryOperatorReplacement,true,2559.00,3113.00,0.8220
1,77,SwapStatement,false,2559.00,-1.00,0.0000
1,78,UnaryOperatorReplacement,true,2559.00,3197.00,0.8004
1,79,BinaryOperatorReplacement,true,2559.00,3444.00,0.7430
1,80,UnaryOperatorReplacement,true,2559.00,3047.00,0.8398
1,81,BinaryOperatorReplacement,true,2559.00,2912.00,0.8788
1,82,UnaryOperatorReplacement,true,2559.00,2894.00,0.8842
1,83,BinaryOperatorReplacement,true,2559.00,3322.00,0.7703
1,84,UnaryOperatorReplacement,true,2559.00,3276.00,0.7811
1,85,BinaryOperatorReplacement,true,2559.00,3091.00,0.8279
1,86,MoveStatement,true,2559.00,2972.00,0.8610
1,87,UnaryOperatorReplacement,true,2559.00,2952.00,0.8669
1,88,BinaryOperatorReplacement,true,2559.00,3243.00,0.7891
1,89,MoveStatement,true,2559.00,3025.00,0.8460
1,90,UnaryOperatorReplacement,true,2559.00,3038.00,0.8423
1,91,BinaryOperatorReplacement,true,2559.00,3238.00,0.7903
1,92,UnaryOperatorReplacement,true,2559.00,3204.00,0.7987
1,93,MoveStatement,true,2559.00,3106.00,0.8239
1,94,SwapStatement,false,2559.00,-1.00,0.0000
1,95,DeleteStatement,false,2559.00,-1.00,0.0000
1,96,CopyStatement,false,2559.00,-1.00,0.0000
1,97,ReplaceStatement,false,2559.00,-1.00,0.0000
1,98,MatchedDeleteStatement,false,2559.00,-1.00,0.0000
1,99,MatchedCopyStatement,false,2559.00,-1.00,0.0000
2,1,MatchedReplaceStatement,false,3909.00,-1.00,0.0000
2,2,UnaryOperatorReplacement,true,3909.00,3897.00,1.0031
2,3,BinaryOperatorReplacement,true,3897.00,4016.00,0.9704
2,4,DeleteStatement,false,3897.00,-1.00,0.0000
2,5,MatchedDeleteStatement,false,3897.00,-1.00,0.0000
2,6,MatchedSwapStatement,false,3897.00,-1.00,0.0000
2,7,MatchedCopyStatement,false,3897.00,-1.00,0.0000
2,8,ReplaceStatement,false,3897.00,-1.00,0.0000
2,9,CopyStatement,false,3897.00,-1.00,0.0000
2,10,MoveStatement,false,3897.00,-1.00,0.0000
2,11,SwapStatement,false,3897.00,-1.00,0.0000
2,12,UnaryOperatorReplacement,true,3897.00,3950.00,0.9866
2,13,BinaryOperatorReplacement,true,3897.00,4035.00,0.9658
2,14,UnaryOperatorReplacement,true,3897.00,3908.00,0.9972
2,15,BinaryOperatorReplacement,true,3897.00,4031.00,0.9668
2,16,UnaryOperatorReplacement,true,3897.00,3879.00,1.0046
2,17,DeleteStatement,false,3879.00,-1.00,0.0000
2,18,CopyStatement,false,3879.00,-1.00,0.0000
2,19,ReplaceStatement,false,3879.00,-1.00,0.0000
2,20,SwapStatement,false,3879.00,-1.00,0.0000
2,21,MoveStatement,true,3879.00,3886.00,0.9982
2,22,MatchedDeleteStatement,false,3879.00,-1.00,0.0000
2,23,MatchedCopyStatement,false,3879.00,-1.00,0.0000
2,24,MatchedReplaceStatement,false,3879.00,-1.00,0.0000
2,25,MatchedSwapStatement,false,3879.00,-1.00,0.0000
2,26,BinaryOperatorReplacement,true,3879.00,3861.00,1.0047
2,27,MoveStatement,true,3861.00,4246.00,0.9093
2,28,UnaryOperatorReplacement,true,3861.00,4157.00,0.9288
