MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,SwapStatement,false,2435.00,-1.00,0.0000
1,2,BinaryOperatorReplacement,true,2435.00,2432.00,1.0012
1,3,MatchedReplaceStatement,false,2432.00,-1.00,0.0000
1,4,CopyStatement,false,2432.00,-1.00,0.0000
1,5,MoveStatement,true,2432.00,2467.00,0.9858
1,6,MatchedDeleteStatement,false,2432.00,-1.00,0.0000
1,7,LLMReplaceStatement,false,2432.00,-1.00,0.0000
1,8,LLMMaskedStatement,true,2432.00,2440.00,0.9967
1,9,DeleteStatement,false,2432.00,-1.00,0.0000
1,10,ReplaceStatement,false,2432.00,-1.00,0.0000
1,11,UnaryOperatorReplacement,true,2432.00,2402.00,1.0125
1,12,MatchedSwapStatement,false,2402.00,-1.00,0.0000
1,13,MatchedCopyStatement,false,2402.00,-1.00,0.0000
1,14,UnaryOperatorReplacement,true,2402.00,2359.00,1.0182
1,15,BinaryOperatorReplacement,true,2359.00,2376.00,0.9928
1,16,LLMMaskedStatement,false,2359.00,-1.00,0.0000
1,17,MoveStatement,true,2359.00,2382.00,0.9903
1,18,UnaryOperatorReplacement,true,2359.00,2373.00,0.9941
1,19,BinaryOperatorReplacement,true,2359.00,2372.00,0.9945
1,20,MoveStatement,false,2359.00,-1.00,0.0000
1,21,DeleteStatement,false,2359.00,-1.00,0.0000
1,22,CopyStatement,false,2359.00,-1.00,0.0000
1,23,ReplaceStatement,false,2359.00,-1.00,0.0000
1,24,SwapStatement,false,2359.00,-1.00,0.0000
1,25,MatchedDeleteStatement,false,2359.00,-1.00,0.0000
1,26,MatchedCopyStatement,false,2359.00,-1.00,0.0000
1,27,MatchedReplaceStatement,false,2359.00,-1.00,0.0000
1,28,MatchedSwapStatement,false,2359.00,-1.00,0.0000
1,29,LLMReplaceStatement,false,2359.00,-1.00,0.0000
1,30,UnaryOperatorReplacement,true,2359.00,2399.00,0.9833
1,31,BinaryOperatorReplacement,true,2359.00,2375.00,0.9933
1,32,LLMMaskedStatement,false,2359.00,-1.00,0.0000
1,33,UnaryOperatorReplacement,true,2359.00,2435.00,0.9688
1,34,BinaryOperatorReplacement,true,2359.00,2362.00,0.9987
1,35,MoveStatement,true,2359.00,2374.00,0.9937
1,36,BinaryOperatorReplacement,true,2359.00,2373.00,0.9941
1,37,UnaryOperatorReplacement,true,2359.00,2376.00,0.9928
1,38,BinaryOperatorReplacement,true,2359.00,2376.00,0.9928
1,39,UnaryOperatorReplacement,true,2359.00,2383.00,0.9899
1,40,MoveStatement,true,2359.00,2376.00,0.9928
1,41,BinaryOperatorReplacement,true,2359.00,2381.00,0.9908
1,42,UnaryOperatorReplacement,true,2359.00,2359.00,1.0000
1,43,MoveStatement,false,2359.00,-1.00,0.0000
1,44,UnaryOperatorReplacement,true,2359.00,2383.00,0.9899
1,45,BinaryOperatorReplacement,true,2359.00,2351.00,1.0034
1,46,DeleteStatement,false,2351.00,-1.00,0.0000
1,47,CopyStatement,false,2351.00,-1.00,0.0000
1,48,ReplaceStatement,false,2351.00,-1.00,0.0000
1,49,SwapStatement,true,2351.00,2369.00,0.9924
1,50,MatchedDeleteStatement,false,2351.00,-1.00,0.0000
1,51,MatchedCopyStatement,false,2351.00,-1.00,0.0000
1,52,MatchedReplaceStatement,false,2351.00,-1.00,0.0000
1,53,MatchedSwapStatement,false,2351.00,-1.00,0.0000
1,54,LLMReplaceStatement,false,2351.00,-1.00,0.0000
1,55,LLMMaskedStatement,false,2351.00,-1.00,0.0000
1,56,SwapStatement,false,2351.00,-1.00,0.0000
1,57,BinaryOperatorReplacement,true,2351.00,2421.00,0.9711
1,58,UnaryOperatorReplacement,true,2351.00,2345.00,1.0026
1,59,UnaryOperatorReplacement,true,2345.00,2379.00,0.9857
1,60,BinaryOperatorReplacement,true,2345.00,2366.00,0.9911
1,61,UnaryOperatorReplacement,true,2345.00,2372.00,0.9886
1,62,BinaryOperatorReplacement,true,2345.00,2378.00,0.9861
1,63,MoveStatement,true,2345.00,2359.00,0.9941
1,64,UnaryOperatorReplacement,true,2345.00,2374.00,0.9878
1,65,BinaryOperatorReplacement,true,2345.00,2350.00,0.9979
1,66,MoveStatement,true,2345.00,2347.00,0.9991
1,67,UnaryOperatorReplacement,true,2345.00,2363.00,0.9924
1,68,BinaryOperatorReplacement,true,2345.00,2349.00,0.9983
1,69,MoveStatement,false,2345.00,-1.00,0.0000
1,70,UnaryOperatorReplacement,true,2345.00,2368.00,0.9903
1,71,BinaryOperatorReplacement,true,2345.00,2350.00,0.9979
1,72,BinaryOperatorReplacement,true,2345.00,2361.00,0.9932
1,73,UnaryOperatorReplacement,true,2345.00,2360.00,0.9936
1,74,BinaryOperatorReplacement,true,2345.00,2368.00,0.9903
1,75,UnaryOperatorReplacement,true,2345.00,2368.00,0.9903
1,76,LLMMaskedStatement,false,2345.00,-1.00,0.0000
1,77,SwapStatement,false,2345.00,-1.00,0.0000
1,78,BinaryOperatorReplacement,true,2345.00,2467.00,0.9505
1,79,UnaryOperatorReplacement,true,2345.00,2419.00,0.9694
1,80,DeleteStatement,false,2345.00,-1.00,0.0000
1,81,CopyStatement,false,2345.00,-1.00,0.0000
1,82,ReplaceStatement,false,2345.00,-1.00,0.0000
1,83,MatchedDeleteStatement,false,2345.00,-1.00,0.0000
1,84,MatchedCopyStatement,false,2345.00,-1.00,0.0000
1,85,MatchedReplaceStatement,false,2345.00,-1.00,0.0000
1,86,MatchedSwapStatement,false,2345.00,-1.00,0.0000
1,87,LLMReplaceStatement,false,2345.00,-1.00,0.0000
1,88,UnaryOperatorReplacement,true,2345.00,2428.00,0.9658
1,89,BinaryOperatorReplacement,true,2345.00,2419.00,0.9694
1,90,UnaryOperatorReplacement,true,2345.00,2399.00,0.9775
1,91,BinaryOperatorReplacement,true,2345.00,2455.00,0.9552
1,92,MoveStatement,true,2345.00,2440.00,0.9611
1,93,UnaryOperatorReplacement,true,2345.00,2425.00,0.9670
1,94,BinaryOperatorReplacement,true,2345.00,2418.00,0.9698
1,95,UnaryOperatorReplacement,true,2345.00,2451.00,0.9568
1,96,MoveStatement,true,2345.00,2435.00,0.9630
1,97,BinaryOperatorReplacement,true,2345.00,2419.00,0.9694
1,98,UnaryOperatorReplacement,true,2345.00,2433.00,0.9638
1,99,BinaryOperatorReplacement,true,2345.00,2432.00,0.9642
2,1,MatchedSwapStatement,false,3445.00,-1.00,0.0000
2,2,LLMReplaceStatement,false,3445.00,-1.00,0.0000
2,3,CopyStatement,false,3445.00,-1.00,0.0000
2,4,ReplaceStatement,false,3445.00,-1.00,0.0000
2,5,MatchedReplaceStatement,false,3445.00,-1.00,0.0000
2,6,UnaryOperatorReplacement,true,3445.00,3523.00,0.9779
2,7,MatchedDeleteStatement,false,3445.00,-1.00,0.0000
2,8,DeleteStatement,false,3445.00,-1.00,0.0000
2,9,MoveStatement,true,3445.00,3469.00,0.9931
2,10,LLMMaskedStatement,false,3445.00,-1.00,0.0000
2,11,SwapStatement,false,3445.00,-1.00,0.0000
2,12,BinaryOperatorReplacement,true,3445.00,3508.00,0.9820
2,13,MatchedCopyStatement,false,3445.00,-1.00,0.0000
2,14,MoveStatement,true,3445.00,3429.00,1.0047
2,15,BinaryOperatorReplacement,true,3429.00,3444.00,0.9956
2,16,UnaryOperatorReplacement,true,3429.00,3464.00,0.9899
2,17,MoveStatement,false,3429.00,-1.00,0.0000
2,18,BinaryOperatorReplacement,true,3429.00,3411.00,1.0053
2,19,UnaryOperatorReplacement,true,3411.00,3442.00,0.9910
2,20,DeleteStatement,false,3411.00,-1.00,0.0000
2,21,CopyStatement,false,3411.00,-1.00,0.0000
2,22,ReplaceStatement,false,3411.00,-1.00,0.0000
