JUnit4: All 5 Experiments Summary
Exp1: Random (5 reps), Exp2: UCB+Trad (5 reps), Exp3: UCB+All (3 reps), Exp4: LS+Trad (5 reps), Exp5: LS+All (3 reps)

Method,E1_mean,E1_std,E2_mean,E2_std,E3_mean,E3_std,E4_mean,E4_std,E5_mean,E5_std
elapsedTimeAsString,19.65,4.20,19.22,14.16,5.98,2.10,52.83,8.49,0.00,0.00
JUnit4Builder.runnerForClass,32.36,7.11,23.07,16.12,5.78,2.66,20.07,12.80,2.69,0.00
methodAndClassNamePatternGroupOrDefault,7.38,1.12,27.88,5.96,3.94,1.24,20.35,10.40,1.28,1.06
IgnoredBuilder.runnerForClass,17.63,7.31,20.06,14.02,2.98,1.54,31.43,2.30,0.00,0.00
wrapIfNotThreadSafe,7.54,1.19,9.28,4.69,2.43,1.80,7.30,1.66,0.00,0.00
runsTopToBottom,10.52,2.30,5.61,3.29,2.27,0.91,6.98,8.49,0.00,0.00
shouldRun,4.61,2.51,10.72,5.46,1.84,0.79,4.09,2.92,0.00,0.00
getSuite,4.25,1.88,4.21,3.06,1.46,0.53,4.96,4.27,0.00,0.00
formatDisplayName,3.82,2.15,5.41,3.19,1.03,0.10,5.13,1.82,0.00,0.00
getAnnotations,5.54,0.69,11.17,2.56,1.01,0.92,10.04,9.22,0.00,0.00
TOTAL,11.33,8.76,13.66,7.87,2.87,1.72,16.32,14.84,0.40,0.85
