JUnit4: Exp 1 (Random) vs Exp 2 (UCB+Traditional) vs Exp 4 (Standard LS+Traditional) — 5 reps each

Method,Impr_E1_mean(%),Impr_E1_std(%),Impr_E2_mean(%),Impr_E2_std(%),Impr_E4_mean(%),Impr_E4_std(%),Winner
methodAndClassNamePatternGroupOrDefault,7.38,1.12,27.88,5.96,20.35,10.40,UCB
JUnit4Builder.runnerForClass,32.36,7.11,23.07,16.12,20.07,12.80,Random
IgnoredBuilder.runnerForClass,17.63,7.31,20.06,14.02,31.43,2.30,LS
elapsedTimeAsString,19.65,4.20,19.22,14.16,52.83,8.49,LS
getAnnotations,5.54,0.69,11.17,2.56,10.04,9.22,UCB
shouldRun,4.61,2.51,10.72,5.46,4.09,2.92,UCB
wrapIfNotThreadSafe,7.54,1.19,9.28,4.69,7.30,1.66,UCB
runsTopToBottom,10.52,2.30,5.61,3.29,6.98,8.49,Random
formatDisplayName,3.82,2.15,5.41,3.19,5.13,1.82,UCB
getSuite,4.25,1.88,4.21,3.06,4.96,4.27,LS
TOTAL,11.33,8.76,13.66,7.87,16.32,14.84,LS
