"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineRuntime(ms)","PatchRuntime(ms)","RuntimeImprovement(ms)","ImprovementPercent"
"1","org.jcodec.codecs.h264.encode.IntraPredEstimator.getLumaPred4x4(Picture,EncodingContext,int,int,int)","4","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""src/main/java/org/jcodec/codecs/h264/encode/IntraPredEstimator.java"":422 |","true","true","1650.00","1645.00","5.00","0.30"
"2","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBlockEdgeVert(Picture,int,int,int,int,int,int,int)","6","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":3436 -> ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2993:2994 |","false","false","2911.00","-1.00","2912.00","100.03"
"3","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBs4(int,int,byte[],byte[],int,int,int,int,int,int,int,int,boolean)","7","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":4016 |","false","false","2903.00","-1.00","2904.00","100.03"
"4","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBlockEdgeVert(Picture,int,int,int,int,int,int,int)","6","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":4005 -> ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":3224:3224 |","true","true","2911.00","2903.00","8.00","0.27"
"5","org.jcodec.common.model.Picture.getPlaneWidth(int)","10","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/jcodec/common/model/Picture.java"":996 |","false","false","1296.00","-1.00","1297.00","100.08"
"6","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBlockEdgeHoris(Picture,int,int,int,int,int,int,int)","5","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":3678 -> ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2993:2993 |","false","false","2897.00","-1.00","2898.00","100.03"
"7","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBlockEdgeHoris(Picture,int,int,int,int,int,int,int)","5","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2389 -> ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2994 |","false","false","2897.00","-1.00","2898.00","100.03"
"8","org.jcodec.common.model.Picture.getPlaneWidth(int)","10","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""src/main/java/org/jcodec/common/model/Picture.java"":1960 -> ""src/main/java/org/jcodec/common/model/Picture.java"":995 |","false","false","1296.00","-1.00","1297.00","100.08"
"9","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBlockEdgeHoris(Picture,int,int,int,int,int,int,int)","5","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":4306 -> ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":2885 |","false","false","2897.00","-1.00","2898.00","100.03"
"10","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.filterBs(int,int,int,byte[],byte[],int,int,int,int,int,int,boolean)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":1801 -> ""src/main/java/org/jcodec/codecs/h264/decode/deblock/DeblockingFilter.java"":3305:3563 |","false","false","2953.00","-1.00","2954.00","100.03"
"11","org.jcodec.scale.BaseResampler.resample(Picture,Picture)","9","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/org/jcodec/scale/BaseResampler.java"":684 |","false","false","161.00","-1.00","162.00","100.62"
