EXPERIMENT 3: UCB Local Search (Traditional + LLM Operators) — Rep 2
Method,Baseline_R2(ms),Best_R2(ms),Reduction_R2(ms),Impr_R2(%)
filterBs,3776.0,3153.0,623.0,16.5
estimateQPix,3960.0,1220.0,2740.0,69.19
takeSafe,3491.0,2647.0,844.0,24.18
getLumaPred4x4,3814.0,2083.0,1731.0,45.39
filterBlockEdgeHoris,5886.0,4693.0,1193.0,20.27
filterBlockEdgeVert,7081.0,3976.0,3105.0,43.85
filterBs4,6343.0,4636.0,1707.0,26.91
mergeResidual,4881.0,2674.0,2207.0,45.22
resample,164.0,154.0,10.0,6.1
getPlaneWidth,1147.0,1131.0,16.0,1.39
TOTAL,40543.0,26367.0,14176.0,34.97
