Exp 3: UCB Local Search (Traditional + LLM Operators) — Rep 2
Exp 5: Standard Local Search (Traditional + LLM Operators) — Rep 1

Method,Baseline_E3(ms),Best_E3(ms),Reduction_E3(ms),Impr_E3(%),Baseline_E5(ms),Best_E5(ms),Reduction_E5(ms),Impr_E5(%)
filterBs,3776.0,3153.0,623.0,16.5,3612.0,3199.0,413.0,11.43
estimateQPix,3960.0,1220.0,2740.0,69.19,1912.0,1138.0,774.0,40.48
takeSafe,3491.0,2647.0,844.0,24.18,1699.0,1550.0,149.0,8.77
getLumaPred4x4,3814.0,2083.0,1731.0,45.39,1393.0,1382.0,11.0,0.79
filterBlockEdgeHoris,5886.0,4693.0,1193.0,20.27,2861.0,2834.0,27.0,0.94
filterBlockEdgeVert,7081.0,3976.0,3105.0,43.85,2871.0,2811.0,60.0,2.09
filterBs4,6343.0,4636.0,1707.0,26.91,3480.0,3052.0,428.0,12.3
mergeResidual,4881.0,2674.0,2207.0,45.22,3059.0,2708.0,351.0,11.47
resample,164.0,154.0,10.0,6.1,167.0,144.0,23.0,13.77
getPlaneWidth,1147.0,1131.0,16.0,1.39,1434.0,1300.0,134.0,9.34
TOTAL,40543.0,26367.0,14176.0,34.97,22488.0,20118.0,2370.0,10.54
