EXPERIMENT 4: Standard Local Search (Traditional Operators)
Method,Baseline_R1(ms),Best_R1(ms),Reduction_R1(ms),Impr_R1(%),Baseline_R2(ms),Best_R2(ms),Reduction_R2(ms),Impr_R2(%),Baseline_R3(ms),Best_R3(ms),Reduction_R3(ms),Impr_R3(%),Baseline_R4(ms),Best_R4(ms),Reduction_R4(ms),Impr_R4(%),Baseline_R5(ms),Best_R5(ms),Reduction_R5(ms),Impr_R5(%),MeanReduction(ms),MeanImprovement(%)
filterBs,4555.0,3326.0,1229.0,26.98,4680.0,3326.0,1354.0,28.93,4414.0,3141.0,1273.0,28.84,3373.0,3148.0,225.0,6.67,3357.0,3062.0,295.0,8.79,875.2,20.04
estimateQPix,1666.0,1298.0,368.0,22.09,1146.0,1195.0,-49.0,-4.28,1277.0,1162.0,115.0,9.01,1443.0,1231.0,212.0,14.69,1272.0,1197.0,75.0,5.9,144.2,9.48
takeSafe,1750.0,1523.0,227.0,12.97,1852.0,1488.0,364.0,19.65,1936.0,1588.0,348.0,17.98,1462.0,1488.0,-26.0,-1.78,1641.0,1547.0,94.0,5.73,201.4,10.91
getLumaPred4x4,1981.0,1815.0,166.0,8.38,2792.0,1573.0,1219.0,43.66,1891.0,1709.0,182.0,9.62,1623.0,1499.0,124.0,7.64,1529.0,1524.0,5.0,0.33,339.2,13.93
filterBlockEdgeHoris,3535.0,3535.0,0.0,0.0,4164.0,3477.0,687.0,16.5,3669.0,3664.0,5.0,0.14,3410.0,3117.0,293.0,8.59,3073.0,3444.0,-371.0,-12.07,122.8,2.63
filterBlockEdgeVert,3413.0,3478.0,-65.0,-1.9,4098.0,3661.0,437.0,10.66,3825.0,2871.0,954.0,24.94,3266.0,3591.0,-325.0,-9.95,3836.0,3304.0,532.0,13.87,306.6,7.52
filterBs4,3986.0,3846.0,140.0,3.51,3655.0,3577.0,78.0,2.13,2918.0,2939.0,-21.0,-0.72,3489.0,3245.0,244.0,6.99,3397.0,2968.0,429.0,12.63,174.0,4.91
mergeResidual,3688.0,3549.0,139.0,3.77,4451.0,4578.0,-127.0,-2.85,3012.0,2729.0,283.0,9.4,3447.0,3163.0,284.0,8.24,2852.0,3083.0,-231.0,-8.1,69.6,2.09
resample,278.0,191.0,87.0,31.29,218.0,165.0,53.0,24.31,183.0,162.0,21.0,11.48,168.0,178.0,-10.0,-5.95,173.0,151.0,22.0,12.72,34.6,14.77
getPlaneWidth,1479.0,1403.0,76.0,5.14,1194.0,1223.0,-29.0,-2.43,1339.0,1266.0,73.0,5.45,1333.0,1209.0,124.0,9.3,1143.0,1117.0,26.0,2.27,54.0,3.95
TOTAL,26331.0,23964.0,2367.0,8.99,28250.0,24263.0,3987.0,14.11,24464.0,21231.0,3233.0,13.22,23014.0,21869.0,1145.0,4.98,22273.0,21397.0,876.0,3.93,2321.6,9.05
