jcodec: Absolute runtime improvement (ms) — median and max per experiment
NOTE: Exp1 pn=100 (undersampled). Exp3=4 reps, Exp5=2 reps, others=5 reps.

Method,E1_median_ms,E1_max_ms,E2_median_ms,E2_max_ms,E3_median_ms,E3_max_ms,E4_median_ms,E4_max_ms,E5_median_ms,E5_max_ms
filterBs,0.0,788.0,0.0,65.0,801.0,830.0,965.0,1354.0,486.0,563.0
estimateQPix,0.0,22.0,38.0,145.0,157.0,708.0,95.0,368.0,171.0,849.0
takeSafe,0.0,8.0,19.0,78.0,212.0,1265.0,160.5,364.0,101.0,464.0
getLumaPred4x4,0.0,5.0,58.0,116.0,120.0,163.0,145.0,1219.0,135.0,230.0
filterBlockEdgeHoris,15.0,22.0,30.0,49.0,73.0,113.0,2.5,687.0,111.0,128.0
filterBlockEdgeVert,6.0,171.0,40.0,168.0,609.0,1904.0,246.0,954.0,468.0,483.0
filterBs4,0.0,31.0,35.0,55.0,42.0,1524.0,109.0,429.0,292.0,798.0
mergeResidual,0.0,0.0,41.0,94.0,87.0,4188.0,71.5,284.0,26.0,206.0
resample,3.0,7.0,14.0,17.0,11.0,18.0,21.5,87.0,16.0,21.0
getPlaneWidth,0.0,21.0,30.0,74.0,231.0,328.0,49.5,124.0,69.0,119.0
