EXPERIMENT 1: Random Sampling (Baseline) — Patch Statistics
Metric,Rep1,Rep2,Rep3,Rep4,Rep5,Mean,StdDev
CompilingPatches(%),16.0,24.0,25.0,24.0,10.0,19.8,6.57
PassingPatches(%),5.0,13.0,10.0,4.0,4.0,7.2,4.09
ImprovingPatches(%),5.0,7.0,4.0,2.0,4.0,4.4,1.82

EXPERIMENT 1: Random Sampling — Best Patch Found Per Method
Method,Baseline_R1(ms),Best_R1(ms),Reduction_R1(ms),Impr_R1(%),Baseline_R2(ms),Best_R2(ms),Reduction_R2(ms),Impr_R2(%),Baseline_R3(ms),Best_R3(ms),Reduction_R3(ms),Impr_R3(%),Baseline_R4(ms),Best_R4(ms),Reduction_R4(ms),Impr_R4(%),Baseline_R5(ms),Best_R5(ms),Reduction_R5(ms),Impr_R5(%),MeanReduction(ms),MeanImprovement(%)
filterBs,3758.0,2970.0,788.0,20.97,2953.0,2722.0,231.0,7.82,2731.0,2731.0,0.0,0.0,2741.0,2741.0,0.0,0.0,2746.0,2746.0,0.0,0.0,203.8,5.76
estimateQPix,1158.0,1158.0,0.0,0.0,1158.0,1136.0,22.0,1.9,1126.0,1126.0,0.0,0.0,1134.0,1134.0,0.0,0.0,1122.0,1122.0,0.0,0.0,4.4,0.38
takeSafe,1502.0,1502.0,0.0,0.0,1514.0,1514.0,0.0,0.0,1448.0,1440.0,8.0,0.55,1448.0,1448.0,0.0,0.0,1466.0,1466.0,0.0,0.0,1.6,0.11
getLumaPred4x4,1646.0,1646.0,0.0,0.0,1650.0,1645.0,5.0,0.3,1452.0,1452.0,0.0,0.0,1443.0,1443.0,0.0,0.0,1445.0,1445.0,0.0,0.0,1.0,0.06
filterBlockEdgeHoris,2932.0,2913.0,19.0,0.65,2897.0,2897.0,0.0,0.0,2731.0,2731.0,0.0,0.0,2742.0,2727.0,15.0,0.55,2751.0,2729.0,22.0,0.8,11.2,0.4
filterBlockEdgeVert,2899.0,2875.0,24.0,0.83,2911.0,2740.0,171.0,5.87,2726.0,2720.0,6.0,0.22,2742.0,2742.0,0.0,0.0,2745.0,2745.0,0.0,0.0,40.2,1.38
filterBs4,2909.0,2909.0,0.0,0.0,2903.0,2903.0,0.0,0.0,2758.0,2758.0,0.0,0.0,2745.0,2745.0,0.0,0.0,2780.0,2749.0,31.0,1.12,6.2,0.22
mergeResidual,2815.0,2815.0,0.0,0.0,2872.0,2872.0,0.0,0.0,2672.0,2672.0,0.0,0.0,2677.0,2677.0,0.0,0.0,2682.0,2682.0,0.0,0.0,0.0,0.0
resample,164.0,164.0,0.0,0.0,161.0,158.0,3.0,1.86,154.0,147.0,7.0,4.55,157.0,154.0,3.0,1.91,164.0,164.0,0.0,0.0,2.6,1.66
getPlaneWidth,1279.0,1258.0,21.0,1.64,1296.0,1296.0,0.0,0.0,1141.0,1141.0,0.0,0.0,1120.0,1120.0,0.0,0.0,1151.0,1151.0,0.0,0.0,4.2,0.33
TOTAL,21062.0,20210.0,852.0,4.05,20315.0,19883.0,432.0,2.13,18939.0,18918.0,21.0,0.11,18949.0,18931.0,18.0,0.09,19052.0,18999.0,53.0,0.28,275.2,1.33

EXPERIMENT 2: UCB Local Search (Traditional Operators)
Method,Baseline_R1(ms),Best_R1(ms),Reduction_R1(ms),Impr_R1(%),Baseline_R2(ms),Best_R2(ms),Reduction_R2(ms),Impr_R2(%),Baseline_R3(ms),Best_R3(ms),Reduction_R3(ms),Impr_R3(%),Baseline_R4(ms),Best_R4(ms),Reduction_R4(ms),Impr_R4(%),Baseline_R5(ms),Best_R5(ms),Reduction_R5(ms),Impr_R5(%),MeanReduction(ms),MeanImprovement(%)
filterBs,2743.0,2728.0,15.0,0.55,2789.0,2724.0,65.0,2.33,2874.0,2874.0,0.0,0.0,2827.0,2827.0,0.0,0.0,2822.0,2822.0,0.0,0.0,16.0,0.58
estimateQPix,1148.0,1110.0,38.0,3.31,1137.0,1120.0,17.0,1.5,1151.0,1122.0,29.0,2.52,1284.0,1139.0,145.0,11.29,1164.0,1126.0,38.0,3.26,53.4,4.38
takeSafe,1442.0,1432.0,10.0,0.69,1457.0,1429.0,28.0,1.92,1468.0,1468.0,0.0,0.0,1484.0,1465.0,19.0,1.28,1525.0,1447.0,78.0,5.11,27.0,1.8
getLumaPred4x4,1448.0,1428.0,20.0,1.38,1471.0,1413.0,58.0,3.94,1496.0,1434.0,62.0,4.14,1483.0,1456.0,27.0,1.82,1541.0,1425.0,116.0,7.53,56.6,3.76
filterBlockEdgeHoris,2781.0,2732.0,49.0,1.76,2888.0,2858.0,30.0,1.04,2838.0,2838.0,0.0,0.0,2790.0,2754.0,36.0,1.29,2792.0,2773.0,19.0,0.68,26.8,0.95
filterBlockEdgeVert,2763.0,2743.0,20.0,0.72,2883.0,2843.0,40.0,1.39,2919.0,2822.0,97.0,3.32,2803.0,2770.0,33.0,1.18,2937.0,2769.0,168.0,5.72,71.6,2.47
filterBs4,2869.0,2847.0,22.0,0.77,2897.0,2842.0,55.0,1.9,2854.0,2854.0,0.0,0.0,2899.0,2856.0,43.0,1.48,2910.0,2875.0,35.0,1.2,31.0,1.07
mergeResidual,2822.0,2781.0,41.0,1.45,2842.0,2774.0,68.0,2.39,2833.0,2794.0,39.0,1.38,2824.0,2786.0,38.0,1.35,2900.0,2806.0,94.0,3.24,56.0,1.96
resample,162.0,145.0,17.0,10.49,158.0,145.0,13.0,8.23,163.0,149.0,14.0,8.59,164.0,151.0,13.0,7.93,162.0,148.0,14.0,8.64,14.2,8.78
getPlaneWidth,1133.0,1114.0,19.0,1.68,1110.0,1110.0,0.0,0.0,1173.0,1121.0,52.0,4.43,1180.0,1150.0,30.0,2.54,1192.0,1118.0,74.0,6.21,35.0,2.97
TOTAL,19311.0,19060.0,251.0,1.3,19632.0,19258.0,374.0,1.91,19769.0,19476.0,293.0,1.48,19738.0,19354.0,384.0,1.95,19945.0,19309.0,636.0,3.19,387.6,1.97

HEAD-TO-HEAD: Best Found Per Method (averaged over 5 reps)
Method,Exp1_MeanReduction(ms),Exp1_MeanImprovement(%),Exp2_MeanReduction(ms),Exp2_MeanImprovement(%)
filterBs,203.8,5.76,16.0,0.58
estimateQPix,4.4,0.38,53.4,4.38
takeSafe,1.6,0.11,27.0,1.8
getLumaPred4x4,1.0,0.06,56.6,3.76
filterBlockEdgeHoris,11.2,0.4,26.8,0.95
filterBlockEdgeVert,40.2,1.38,71.6,2.47
filterBs4,6.2,0.22,31.0,1.07
mergeResidual,0.0,0.0,56.0,1.96
resample,2.6,1.66,14.2,8.78
getPlaneWidth,4.2,0.33,35.0,2.97
TOTAL,275.2,1.33,387.6,1.97
