Method,Baseline(ms),Best(ms),Improvement(%),MetricB(%),Steps,Passing,PassRate(%)
filterBs4,3822.0,3082.0,19.36,80.64,390,49,12.6
filterBs,2999.0,2798.0,6.70,93.30,379,71,18.7
estimateQPix,3238.0,1057.0,67.36,32.64,380,86,22.6
takeSafe,1557.0,1395.0,10.40,89.60,399,85,21.3
getLumaPred4x4,1594.0,1317.0,17.38,82.62,390,128,32.8
filterBlockEdgeHoris,2861.0,2746.0,4.02,95.98,399,102,25.6
filterBlockEdgeVert,2820.0,2726.0,3.33,96.67,399,224,56.1
mergeResidual,4050.0,2718.0,32.89,67.11,399,126,31.6
resample,206.0,162.0,21.36,78.64,392,69,17.6
getPlaneWidth,1988.0,1531.0,22.99,77.01,399,276,69.2
