MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,ReplaceStatement,false,176.00,-1.00,0.0000
1,2,MoveStatement,false,176.00,-1.00,0.0000
1,3,SwapStatement,false,176.00,-1.00,0.0000
1,4,LLMMaskedStatement,false,176.00,-1.00,0.0000
1,5,MatchedReplaceStatement,false,176.00,-1.00,0.0000
1,6,BinaryOperatorReplacement,false,176.00,-1.00,0.0000
1,7,DeleteStatement,false,176.00,-1.00,0.0000
1,8,CopyStatement,false,176.00,-1.00,0.0000
1,9,MatchedSwapStatement,false,176.00,-1.00,0.0000
1,10,LLMReplaceStatement,false,176.00,-1.00,0.0000
1,11,MatchedCopyStatement,false,176.00,-1.00,0.0000
1,12,UnaryOperatorReplacement,false,176.00,-1.00,0.0000
1,13,MatchedDeleteStatement,false,176.00,-1.00,0.0000
1,14,DeleteStatement,false,176.00,-1.00,0.0000
1,15,CopyStatement,false,176.00,-1.00,0.0000
1,16,ReplaceStatement,false,176.00,-1.00,0.0000
1,17,SwapStatement,false,176.00,-1.00,0.0000
1,18,MoveStatement,false,176.00,-1.00,0.0000
1,19,MatchedDeleteStatement,false,176.00,-1.00,0.0000
1,20,MatchedCopyStatement,false,176.00,-1.00,0.0000
1,21,MatchedReplaceStatement,false,176.00,-1.00,0.0000
1,22,MatchedSwapStatement,false,176.00,-1.00,0.0000
1,23,BinaryOperatorReplacement,false,176.00,-1.00,0.0000
1,24,UnaryOperatorReplacement,false,176.00,-1.00,0.0000
1,25,LLMMaskedStatement,false,176.00,-1.00,0.0000
1,26,LLMReplaceStatement,false,176.00,-1.00,0.0000
1,27,DeleteStatement,false,176.00,-1.00,0.0000
1,28,CopyStatement,false,176.00,-1.00,0.0000
1,29,ReplaceStatement,false,176.00,-1.00,0.0000
1,30,SwapStatement,false,176.00,-1.00,0.0000
1,31,MoveStatement,false,176.00,-1.00,0.0000
1,32,MatchedDeleteStatement,false,176.00,-1.00,0.0000
1,33,MatchedCopyStatement,false,176.00,-1.00,0.0000
1,34,MatchedReplaceStatement,false,176.00,-1.00,0.0000
1,35,MatchedSwapStatement,true,176.00,167.00,1.0539
1,36,MatchedSwapStatement,true,167.00,180.00,0.9278
1,37,BinaryOperatorReplacement,true,167.00,178.00,0.9382
1,38,UnaryOperatorReplacement,false,167.00,-1.00,0.0000
1,39,LLMMaskedStatement,false,167.00,-1.00,0.0000
1,40,LLMReplaceStatement,true,167.00,257.00,0.6498
1,41,BinaryOperatorReplacement,false,167.00,-1.00,0.0000
1,42,MatchedSwapStatement,true,167.00,175.00,0.9543
1,43,MatchedSwapStatement,true,167.00,191.00,0.8743
1,44,LLMReplaceStatement,false,167.00,-1.00,0.0000
1,45,MatchedSwapStatement,false,167.00,-1.00,0.0000
1,46,BinaryOperatorReplacement,true,167.00,243.00,0.6872
1,47,DeleteStatement,true,167.00,172.00,0.9709
1,48,DeleteStatement,false,167.00,-1.00,0.0000
1,49,CopyStatement,false,167.00,-1.00,0.0000
1,50,ReplaceStatement,true,167.00,177.00,0.9435
1,51,ReplaceStatement,true,167.00,169.00,0.9882
1,52,ReplaceStatement,false,167.00,-1.00,0.0000
1,53,SwapStatement,false,167.00,-1.00,0.0000
1,54,MoveStatement,true,167.00,188.00,0.8883
1,55,MoveStatement,true,167.00,170.00,0.9824
1,56,MoveStatement,false,167.00,-1.00,0.0000
1,57,MatchedDeleteStatement,false,167.00,-1.00,0.0000
1,58,MatchedCopyStatement,false,167.00,-1.00,0.0000
1,59,MatchedReplaceStatement,true,167.00,168.00,0.9940
1,60,MatchedReplaceStatement,true,167.00,174.00,0.9598
1,61,MatchedReplaceStatement,true,167.00,181.00,0.9227
1,62,UnaryOperatorReplacement,true,167.00,192.00,0.8698
