MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,MatchedDeleteStatement,false,4868.00,-1.00,0.0000
1,2,MatchedCopyStatement,false,4868.00,-1.00,0.0000
1,3,MatchedSwapStatement,false,4868.00,-1.00,0.0000
1,4,MoveStatement,false,4868.00,-1.00,0.0000
1,5,SwapStatement,false,4868.00,-1.00,0.0000
1,6,DeleteStatement,false,4868.00,-1.00,0.0000
1,7,MatchedReplaceStatement,false,4868.00,-1.00,0.0000
1,8,CopyStatement,false,4868.00,-1.00,0.0000
1,9,UnaryOperatorReplacement,false,4868.00,-1.00,0.0000
1,10,BinaryOperatorReplacement,false,4868.00,-1.00,0.0000
1,11,ReplaceStatement,false,4868.00,-1.00,0.0000
1,12,DeleteStatement,false,4868.00,-1.00,0.0000
1,13,CopyStatement,true,4868.00,4199.00,1.1593
1,14,ReplaceStatement,true,4199.00,4423.00,0.9494
1,15,SwapStatement,false,4199.00,-1.00,0.0000
1,16,MoveStatement,false,4199.00,-1.00,0.0000
1,17,MatchedDeleteStatement,true,4199.00,4582.00,0.9164
1,18,MatchedCopyStatement,false,4199.00,-1.00,0.0000
1,19,MatchedReplaceStatement,false,4199.00,-1.00,0.0000
1,20,MatchedSwapStatement,false,4199.00,-1.00,0.0000
1,21,BinaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,22,UnaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,23,CopyStatement,false,4199.00,-1.00,0.0000
1,24,ReplaceStatement,false,4199.00,-1.00,0.0000
1,25,MatchedDeleteStatement,false,4199.00,-1.00,0.0000
1,26,CopyStatement,false,4199.00,-1.00,0.0000
1,27,DeleteStatement,false,4199.00,-1.00,0.0000
1,28,SwapStatement,false,4199.00,-1.00,0.0000
1,29,MoveStatement,false,4199.00,-1.00,0.0000
1,30,MatchedCopyStatement,false,4199.00,-1.00,0.0000
1,31,MatchedReplaceStatement,false,4199.00,-1.00,0.0000
1,32,MatchedSwapStatement,false,4199.00,-1.00,0.0000
1,33,BinaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,34,UnaryOperatorReplacement,true,4199.00,5364.00,0.7828
1,35,ReplaceStatement,false,4199.00,-1.00,0.0000
1,36,MatchedDeleteStatement,false,4199.00,-1.00,0.0000
1,37,UnaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,38,CopyStatement,true,4199.00,5501.00,0.7633
1,39,CopyStatement,true,4199.00,5423.00,0.7743
1,40,ReplaceStatement,true,4199.00,5581.00,0.7524
1,41,MatchedDeleteStatement,true,4199.00,5792.00,0.7250
1,42,DeleteStatement,false,4199.00,-1.00,0.0000
1,43,SwapStatement,true,4199.00,6292.00,0.6674
1,44,MoveStatement,true,4199.00,5988.00,0.7012
1,45,MatchedCopyStatement,false,4199.00,-1.00,0.0000
1,46,MatchedReplaceStatement,false,4199.00,-1.00,0.0000
1,47,MatchedSwapStatement,true,4199.00,6059.00,0.6930
1,48,BinaryOperatorReplacement,true,4199.00,6110.00,0.6872
1,49,UnaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,50,CopyStatement,true,4199.00,6014.00,0.6982
1,51,ReplaceStatement,true,4199.00,6008.00,0.6989
1,52,MatchedDeleteStatement,false,4199.00,-1.00,0.0000
1,53,MoveStatement,true,4199.00,5827.00,0.7206
1,54,MatchedSwapStatement,true,4199.00,5923.00,0.7089
1,55,BinaryOperatorReplacement,true,4199.00,5834.00,0.7197
1,56,SwapStatement,true,4199.00,5705.00,0.7360
1,57,ReplaceStatement,true,4199.00,5771.00,0.7276
1,58,CopyStatement,true,4199.00,5621.00,0.7470
1,59,MoveStatement,true,4199.00,5493.00,0.7644
1,60,BinaryOperatorReplacement,true,4199.00,5501.00,0.7633
1,61,SwapStatement,true,4199.00,5360.00,0.7834
1,62,MatchedSwapStatement,false,4199.00,-1.00,0.0000
1,63,SwapStatement,true,4199.00,5719.00,0.7342
1,64,MoveStatement,false,4199.00,-1.00,0.0000
1,65,BinaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,66,CopyStatement,false,4199.00,-1.00,0.0000
1,67,ReplaceStatement,true,4199.00,5275.00,0.7960
1,68,ReplaceStatement,false,4199.00,-1.00,0.0000
1,69,SwapStatement,false,4199.00,-1.00,0.0000
1,70,MatchedDeleteStatement,true,4199.00,5581.00,0.7524
1,71,UnaryOperatorReplacement,true,4199.00,5695.00,0.7373
1,72,DeleteStatement,true,4199.00,5561.00,0.7551
1,73,MatchedCopyStatement,false,4199.00,-1.00,0.0000
1,74,MatchedReplaceStatement,false,4199.00,-1.00,0.0000
1,75,DeleteStatement,false,4199.00,-1.00,0.0000
1,76,UnaryOperatorReplacement,true,4199.00,5560.00,0.7552
1,77,MatchedDeleteStatement,false,4199.00,-1.00,0.0000
1,78,CopyStatement,true,4199.00,5651.00,0.7431
1,79,UnaryOperatorReplacement,true,4199.00,5711.00,0.7352
1,80,MatchedSwapStatement,true,4199.00,5600.00,0.7498
1,81,MoveStatement,true,4199.00,5910.00,0.7105
1,82,BinaryOperatorReplacement,false,4199.00,-1.00,0.0000
1,83,MatchedSwapStatement,false,4199.00,-1.00,0.0000
1,84,CopyStatement,false,4199.00,-1.00,0.0000
1,85,UnaryOperatorReplacement,false,4199.00,-1.00,0.0000
